target_name,algorithm_name,artifact_model_name,artifact_dir,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2,train_rows,val_rows,test_rows,split_type
labDensityAverage,rf,labDensityAverage_rf_v2,artifacts\labDensityAverage_rf_v2,21.363962469683162,33.61927823914433,0.7726980804970786,24.765425267033624,39.43391952055816,0.6905239377840975,342,72,72,time_based
labDensityAverage,xgb,labDensityAverage_xgb_v1,artifacts\labDensityAverage_xgb_v1,21.902923380533856,35.06426484217035,0.7527388936738776,24.619450039333763,39.48753531637723,0.6896818157908323,342,72,72,time_based
labDensityAverage,lgbm,labDensityAverage_lgbm_v1,artifacts\labDensityAverage_lgbm_v1,22.15821504018116,32.90893799758461,0.7822019098601232,26.140273439084776,39.73768918681774,0.6857376253515453,342,72,72,time_based
labBendingAvg,rf,labBendingAvg_rf_v2,artifacts\labBendingAvg_rf_v2,2.8143941792220164,4.161821718503142,0.7728907429948726,3.269216907757129,4.927750838433705,0.6922585718772138,342,72,72,time_based
labBendingAvg,xgb,labBendingAvg_xgb_v1,artifacts\labBendingAvg_xgb_v1,2.9673866324954563,4.321821951653972,0.7550927543027167,3.3749569712744814,4.976095758891797,0.6861906044793569,342,72,72,time_based
labBendingAvg,lgbm,labBendingAvg_lgbm_v1,artifacts\labBendingAvg_lgbm_v1,2.7606374544403507,4.125291522448156,0.7768601274852737,3.447338779435372,5.087685963475905,0.6719582823040453,342,72,72,time_based
